Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
?: (staticfiles.W004) The directory '/home/digitalmente/Cognied/static' in the STATICFILES_DIRS setting does not exist.

System check identified 1 issue (0 silenced).
[27/Jun/2022 17:03:58] "GET /api HTTP/1.1" 301 0
[27/Jun/2022 17:03:58] "GET /api/ HTTP/1.1" 200 13180
[27/Jun/2022 17:03:58] "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
[27/Jun/2022 17:03:58] "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
[27/Jun/2022 17:03:58] "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
[27/Jun/2022 17:03:58] "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
[27/Jun/2022 17:03:58] "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
[27/Jun/2022 17:03:58] "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
[27/Jun/2022 17:03:58] "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
[27/Jun/2022 17:03:59] "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
[27/Jun/2022 17:03:59] "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
[27/Jun/2022 17:03:59] "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
[27/Jun/2022 17:03:59] "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
Not Found: /favicon.ico
[27/Jun/2022 17:03:59] "GET /favicon.ico HTTP/1.1" 404 2851
[27/Jun/2022 17:06:00] "GET /api/ HTTP/1.1" 200 13180
[27/Jun/2022 17:06:03] "GET /api/avance_modulos/ HTTP/1.1" 200 19245
